,📎,rapide,lente,niveau,signal,positive,negative,benefice
72,❗,12,17,2,2,0,0,0.0
73,❗,12,18,2,2,0,0,0.0
74,❗,12,19,2,2,0,0,0.0
75,❗,13,15,2,2,0,0,0.0
76,❗,13,16,2,2,0,0,0.0
77,❗,13,17,2,2,0,0,0.0
78,❗,13,18,2,2,0,0,0.0
79,❗,13,19,2,2,0,0,0.0
80,❗,14,16,2,2,0,0,0.0
81,❗,14,17,2,2,0,0,0.0
82,❗,14,18,2,2,0,0,0.0
83,❗,14,19,2,2,0,0,0.0
84,❗,15,17,2,2,0,0,0.0
85,❗,15,18,2,2,0,0,0.0
86,❗,15,19,2,2,0,0,0.0
87,❗,16,18,2,2,0,0,0.0
88,❗,16,19,2,2,0,0,0.0
89,❗,17,19,2,2,0,0,0.0
90,❗,10,15,2,2,0,0,0.0
91,❗,10,16,2,2,0,0,0.0
92,❗,10,17,2,2,0,0,0.0
93,❗,10,18,2,2,0,0,0.0
94,❗,10,19,2,2,0,0,0.0
95,❗,11,15,2,2,0,0,0.0
96,❗,11,16,2,2,0,0,0.0
97,❗,11,17,2,2,0,0,0.0
98,❗,11,18,2,2,0,0,0.0
99,❗,11,19,2,2,0,0,0.0
100,❗,12,15,2,2,0,0,0.0
101,❗,12,16,2,2,0,0,0.0
102,❗,12,17,2,2,0,0,0.0
103,❗,12,18,2,2,0,0,0.0
104,❗,12,19,2,2,0,0,0.0
105,❗,13,15,2,2,0,0,0.0
106,❗,13,16,2,2,0,0,0.0
107,❗,13,17,2,2,0,0,0.0
108,❗,13,18,2,2,0,0,0.0
109,❗,13,19,2,2,0,0,0.0
110,❗,14,16,2,2,0,0,0.0
111,❗,14,17,2,2,0,0,0.0
112,❗,14,18,2,2,0,0,0.0
113,❗,14,19,2,2,0,0,0.0
114,❗,15,17,2,2,0,0,0.0
115,❗,15,18,2,2,0,0,0.0
116,❗,15,19,2,2,0,0,0.0
117,❗,16,18,2,2,0,0,0.0
118,❗,16,19,2,2,0,0,0.0
119,❗,17,19,2,2,0,0,0.0
120,❗,10,15,2,2,0,0,0.0
121,❗,10,16,2,2,0,0,0.0
122,❗,10,17,2,2,0,0,0.0
123,❗,10,18,2,2,0,0,0.0
124,❗,10,19,2,2,0,0,0.0
125,❗,11,15,2,2,0,0,0.0
126,❗,11,16,2,2,0,0,0.0
127,❗,11,17,2,2,0,0,0.0
128,❗,11,18,2,2,0,0,0.0
129,❗,11,19,2,2,0,0,0.0
130,❗,12,15,2,2,0,0,0.0
131,❗,12,16,2,2,0,0,0.0
132,❗,12,17,2,2,0,0,0.0
133,❗,12,18,2,2,0,0,0.0
134,❗,12,19,2,2,0,0,0.0
135,❗,13,15,2,2,0,0,0.0
136,❗,13,16,2,2,0,0,0.0
137,❗,13,17,2,2,0,0,0.0
138,❗,13,18,2,2,0,0,0.0
139,❗,13,19,2,2,0,0,0.0
140,❗,14,16,2,2,0,0,0.0
141,❗,14,17,2,2,0,0,0.0
142,❗,14,18,2,2,0,0,0.0
143,❗,14,19,2,2,0,0,0.0
144,❗,15,17,2,2,0,0,0.0
145,❗,15,18,2,2,0,0,0.0
146,❗,15,19,2,2,0,0,0.0
147,❗,16,18,2,2,0,0,0.0
148,❗,16,19,2,2,0,0,0.0
149,❗,17,19,2,2,0,0,0.0
150,❗,10,15,2,2,0,0,0.0
151,❗,10,16,2,2,0,0,0.0
152,❗,10,17,2,2,0,0,0.0
153,❗,10,18,2,2,0,0,0.0
154,❗,10,19,2,2,0,0,0.0
155,❗,11,15,2,2,0,0,0.0
156,❗,11,16,2,2,0,0,0.0
157,❗,11,17,2,2,0,0,0.0
158,❗,11,18,2,2,0,0,0.0
159,❗,11,19,2,2,0,0,0.0
160,❗,12,15,2,2,0,0,0.0
161,❗,12,16,2,2,0,0,0.0
162,❗,12,17,2,2,0,0,0.0
163,❗,12,18,2,2,0,0,0.0
164,❗,12,19,2,2,0,0,0.0
165,❗,13,15,2,2,0,0,0.0
166,❗,13,16,2,2,0,0,0.0
167,❗,13,17,2,2,0,0,0.0
168,❗,13,18,2,2,0,0,0.0
169,❗,13,19,2,2,0,0,0.0
170,❗,14,16,2,2,0,0,0.0
171,❗,14,17,2,2,0,0,0.0
172,❗,14,18,2,2,0,0,0.0
173,❗,14,19,2,2,0,0,0.0
174,❗,15,17,2,2,0,0,0.0
175,❗,15,18,2,2,0,0,0.0
176,❗,15,19,2,2,0,0,0.0
177,❗,16,18,2,2,0,0,0.0
178,❗,16,19,2,2,0,0,0.0
179,❗,17,19,2,2,0,0,0.0
180,❗,10,15,2,2,0,0,0.0
181,❗,10,16,2,2,0,0,0.0
182,❗,10,17,2,2,0,0,0.0
183,❗,10,18,2,2,0,0,0.0
184,❗,10,19,2,2,0,0,0.0
185,❗,11,15,2,2,0,0,0.0
186,❗,11,16,2,2,0,0,0.0
187,❗,11,17,2,2,0,0,0.0
188,❗,11,18,2,2,0,0,0.0
189,❗,11,19,2,2,0,0,0.0
190,❗,12,15,2,2,0,0,0.0
191,❗,12,16,2,2,0,0,0.0
192,❗,12,17,2,2,0,0,0.0
193,❗,12,18,2,2,0,0,0.0
194,❗,12,19,2,2,0,0,0.0
195,❗,13,15,2,2,0,0,0.0
196,❗,13,16,2,2,0,0,0.0
197,❗,13,17,2,2,0,0,0.0
198,❗,13,18,2,2,0,0,0.0
199,❗,13,19,2,2,0,0,0.0
200,❗,14,16,2,2,0,0,0.0
201,❗,14,17,2,2,0,0,0.0
202,❗,14,18,2,2,0,0,0.0
203,❗,14,19,2,2,0,0,0.0
204,❗,15,17,2,2,0,0,0.0
205,❗,15,18,2,2,0,0,0.0
206,❗,15,19,2,2,0,0,0.0
207,❗,16,18,2,2,0,0,0.0
208,❗,16,19,2,2,0,0,0.0
209,❗,17,19,2,2,0,0,0.0
210,❗,10,15,2,2,0,0,0.0
211,❗,10,16,2,2,0,0,0.0
212,❗,10,17,2,2,0,0,0.0
213,❗,10,18,2,2,0,0,0.0
214,❗,10,19,2,2,0,0,0.0
215,❗,11,15,2,2,0,0,0.0
216,❗,11,16,2,2,0,0,0.0
217,❗,11,17,2,2,0,0,0.0
218,❗,11,18,2,2,0,0,0.0
219,❗,11,19,2,2,0,0,0.0
220,❗,12,15,2,2,0,0,0.0
221,❗,12,16,2,2,0,0,0.0
222,❗,12,17,2,2,0,0,0.0
223,❗,12,18,2,2,0,0,0.0
224,❗,12,19,2,2,0,0,0.0
225,❗,13,15,2,2,0,0,0.0
226,❗,13,16,2,2,0,0,0.0
227,❗,13,17,2,2,0,0,0.0
228,❗,13,18,2,2,0,0,0.0
229,❗,13,19,2,2,0,0,0.0
230,❗,14,16,2,2,0,0,0.0
231,❗,14,17,2,2,0,0,0.0
232,❗,14,18,2,2,0,0,0.0
233,❗,14,19,2,2,0,0,0.0
234,❗,15,17,2,2,0,0,0.0
235,❗,15,18,2,2,0,0,0.0
236,❗,15,19,2,2,0,0,0.0
237,❗,16,18,2,2,0,0,0.0
238,❗,16,19,2,2,0,0,0.0
239,❗,17,19,2,2,0,0,0.0
240,❗,10,15,2,2,0,0,0.0
241,❗,10,16,2,2,0,0,0.0
242,❗,10,17,2,2,0,0,0.0
243,❗,10,18,2,2,0,0,0.0
244,❗,10,19,2,2,0,0,0.0
245,❗,11,15,2,2,0,0,0.0
246,❗,11,16,2,2,0,0,0.0
247,❗,11,17,2,2,0,0,0.0
248,❗,11,18,2,2,0,0,0.0
249,❗,11,19,2,2,0,0,0.0
250,❗,12,15,2,2,0,0,0.0
251,❗,12,16,2,2,0,0,0.0
252,❗,12,17,2,2,0,0,0.0
253,❗,12,18,2,2,0,0,0.0
254,❗,12,19,2,2,0,0,0.0
255,❗,13,15,2,2,0,0,0.0
256,❗,13,16,2,2,0,0,0.0
257,❗,13,17,2,2,0,0,0.0
258,❗,13,18,2,2,0,0,0.0
259,❗,13,19,2,2,0,0,0.0
260,❗,14,16,2,2,0,0,0.0
261,❗,14,17,2,2,0,0,0.0
262,❗,14,18,2,2,0,0,0.0
263,❗,14,19,2,2,0,0,0.0
264,❗,15,17,2,2,0,0,0.0
265,❗,15,18,2,2,0,0,0.0
266,❗,15,19,2,2,0,0,0.0
267,❗,16,18,2,2,0,0,0.0
268,❗,16,19,2,2,0,0,0.0
269,❗,17,19,2,2,0,0,0.0
270,❗,10,15,2,2,0,0,0.0
271,❗,10,16,2,2,0,0,0.0
272,❗,10,17,2,2,0,0,0.0
273,❗,10,18,2,2,0,0,0.0
274,❗,10,19,2,2,0,0,0.0
275,❗,11,15,2,2,0,0,0.0
276,❗,11,16,2,2,0,0,0.0
277,❗,11,17,2,2,0,0,0.0
278,❗,11,18,2,2,0,0,0.0
279,❗,11,19,2,2,0,0,0.0
280,❗,12,15,2,2,0,0,0.0
281,❗,12,16,2,2,0,0,0.0
282,❗,12,17,2,2,0,0,0.0
283,❗,12,18,2,2,0,0,0.0
284,❗,12,19,2,2,0,0,0.0
285,❗,13,15,2,2,0,0,0.0
286,❗,13,16,2,2,0,0,0.0
287,❗,13,17,2,2,0,0,0.0
288,❗,13,18,2,2,0,0,0.0
289,❗,13,19,2,2,0,0,0.0
290,❗,14,16,2,2,0,0,0.0
291,❗,14,17,2,2,0,0,0.0
292,❗,14,18,2,2,0,0,0.0
293,❗,14,19,2,2,0,0,0.0
294,❗,15,17,2,2,0,0,0.0
295,❗,15,18,2,2,0,0,0.0
296,❗,15,19,2,2,0,0,0.0
297,❗,16,18,2,2,0,0,0.0
298,❗,16,19,2,2,0,0,0.0
299,❗,17,19,2,2,0,0,0.0
