GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),SEVERITY (CODE),SEVERITY (DISPLAY),SEVERITY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4801,,,,PUBLISHED,Published,,2005,2005,,AFR,2005,2005,Africa,,COG,Congo,,BTSX,Both sexes,,,,,68.7 [61.4-74.3],68.70000,61.40000,74.30000,,,
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4801,,,,PUBLISHED,Published,,2006,2006,,AFR,2006,2006,Africa,,COG,Congo,,BTSX,Both sexes,,,,,67.7 [60.4-73.5],67.70000,60.40000,73.50000,,,
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4801,,,,PUBLISHED,Published,,2007,2007,,AFR,2007,2007,Africa,,COG,Congo,,BTSX,Both sexes,,,,,66.8 [59.2-72.8],66.80000,59.20000,72.80000,,,
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4801,,,,PUBLISHED,Published,,2008,2008,,AFR,2008,2008,Africa,,COG,Congo,,BTSX,Both sexes,,,,,65.9 [58.2-72.0],65.90000,58.20000,72.00000,,,
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4801,,,,PUBLISHED,Published,,2009,2009,,AFR,2009,2009,Africa,,COG,Congo,,BTSX,Both sexes,,,,,65.3 [57.6-71.5],65.30000,57.60000,71.50000,,,
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4801,,,,PUBLISHED,Published,,2010,2010,,AFR,2010,2010,Africa,,COG,Congo,,BTSX,Both sexes,,,,,64.9 [57.0-71.1],64.90000,57.00000,71.10000,,,
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4801,,,,PUBLISHED,Published,,2011,2011,,AFR,2011,2011,Africa,,COG,Congo,,BTSX,Both sexes,,,,,64.6 [56.9-70.9],64.60000,56.90000,70.90000,,,
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4801,,,,PUBLISHED,Published,,2012,2012,,AFR,2012,2012,Africa,,COG,Congo,,BTSX,Both sexes,,,,,64.4 [56.8-70.8],64.40000,56.80000,70.80000,,,
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4801,,,,PUBLISHED,Published,,2013,2013,,AFR,2013,2013,Africa,,COG,Congo,,BTSX,Both sexes,,,,,64.2 [56.5-70.8],64.20000,56.50000,70.80000,,,
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4801,,,,PUBLISHED,Published,,2014,2014,,AFR,2014,2014,Africa,,COG,Congo,,BTSX,Both sexes,,,,,63.9 [55.8-70.9],63.90000,55.80000,70.90000,,,
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4801,,,,PUBLISHED,Published,,2015,2015,,AFR,2015,2015,Africa,,COG,Congo,,BTSX,Both sexes,,,,,63.5 [54.6-71.2],63.50000,54.60000,71.20000,,,
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4801,,,,PUBLISHED,Published,,2016,2016,,AFR,2016,2016,Africa,,COG,Congo,,BTSX,Both sexes,,,,,63.0 [52.7-71.6],63.00000,52.70000,71.60000,,,
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4801,,,,PUBLISHED,Published,,2017,2017,,AFR,2017,2017,Africa,,COG,Congo,,BTSX,Both sexes,,,,,62.3 [50.4-72.1],62.30000,50.40000,72.10000,,,
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4801,,,,PUBLISHED,Published,,2018,2018,,AFR,2018,2018,Africa,,COG,Congo,,BTSX,Both sexes,,,,,61.6 [48.0-72.6],61.60000,48.00000,72.60000,,,
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4801,,,,PUBLISHED,Published,,2019,2019,,AFR,2019,2019,Africa,,COG,Congo,,BTSX,Both sexes,,,,,60.8 [45.8-73.4],60.80000,45.80000,73.40000,,,
NUTRITION_ANAEMIA_CHILDREN_NUM,Number of children aged 6-59 months with anaemia (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5653,,,,PUBLISHED,Published,,2000,2000,,AFR,2000,2000,Africa,,COG,Congo,,BTSX,Both sexes,,,,,370 [322-405],370.43500,322.00000,405.00000,,,
NUTRITION_ANAEMIA_CHILDREN_NUM,Number of children aged 6-59 months with anaemia (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5653,,,,PUBLISHED,Published,,2001,2001,,AFR,2001,2001,Africa,,COG,Congo,,BTSX,Both sexes,,,,,380 [335-412],379.83400,335.00000,412.00000,,,
NUTRITION_ANAEMIA_CHILDREN_NUM,Number of children aged 6-59 months with anaemia (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5653,,,,PUBLISHED,Published,,2002,2002,,AFR,2002,2002,Africa,,COG,Congo,,BTSX,Both sexes,,,,,388 [345-419],387.68900,345.00000,419.00000,,,
NUTRITION_ANAEMIA_CHILDREN_NUM,Number of children aged 6-59 months with anaemia (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5653,,,,PUBLISHED,Published,,2003,2003,,AFR,2003,2003,Africa,,COG,Congo,,BTSX,Both sexes,,,,,394 [351-425],394.47900,351.00000,425.00000,,,
NUTRITION_ANAEMIA_CHILDREN_NUM,Number of children aged 6-59 months with anaemia (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5653,,,,PUBLISHED,Published,,2004,2004,,AFR,2004,2004,Africa,,COG,Congo,,BTSX,Both sexes,,,,,401 [359-432],401.06400,359.00000,432.00000,,,
NUTRITION_ANAEMIA_CHILDREN_NUM,Number of children aged 6-59 months with anaemia (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5653,,,,PUBLISHED,Published,,2005,2005,,AFR,2005,2005,Africa,,COG,Congo,,BTSX,Both sexes,,,,,409 [365-442],408.78500,365.00000,442.00000,,,
NUTRITION_ANAEMIA_CHILDREN_NUM,Number of children aged 6-59 months with anaemia (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5653,,,,PUBLISHED,Published,,2006,2006,,AFR,2006,2006,Africa,,COG,Congo,,BTSX,Both sexes,,,,,417 [371-452],416.72400,371.00000,452.00000,,,
NUTRITION_ANAEMIA_CHILDREN_NUM,Number of children aged 6-59 months with anaemia (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5653,,,,PUBLISHED,Published,,2007,2007,,AFR,2007,2007,Africa,,COG,Congo,,BTSX,Both sexes,,,,,426 [378-464],426.09200,378.00000,464.00000,,,
NUTRITION_ANAEMIA_CHILDREN_NUM,Number of children aged 6-59 months with anaemia (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5653,,,,PUBLISHED,Published,,2008,2008,,AFR,2008,2008,Africa,,COG,Congo,,BTSX,Both sexes,,,,,436 [385-477],436.21600,385.00000,477.00000,,,
NUTRITION_ANAEMIA_CHILDREN_NUM,Number of children aged 6-59 months with anaemia (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5653,,,,PUBLISHED,Published,,2009,2009,,AFR,2009,2009,Africa,,COG,Congo,,BTSX,Both sexes,,,,,447 [394-488],446.52100,394.00000,488.00000,,,
NUTRITION_ANAEMIA_CHILDREN_NUM,Number of children aged 6-59 months with anaemia (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5653,,,,PUBLISHED,Published,,2010,2010,,AFR,2010,2010,Africa,,COG,Congo,,BTSX,Both sexes,,,,,456 [400-500],455.88800,400.00000,500.00000,,,
NUTRITION_ANAEMIA_CHILDREN_NUM,Number of children aged 6-59 months with anaemia (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5653,,,,PUBLISHED,Published,,2011,2011,,AFR,2011,2011,Africa,,COG,Congo,,BTSX,Both sexes,,,,,469 [413-515],468.95600,413.00000,515.00000,,,
NUTRITION_ANAEMIA_CHILDREN_NUM,Number of children aged 6-59 months with anaemia (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5653,,,,PUBLISHED,Published,,2012,2012,,AFR,2012,2012,Africa,,COG,Congo,,BTSX,Both sexes,,,,,479 [422-526],478.78600,422.00000,526.00000,,,
NUTRITION_ANAEMIA_CHILDREN_NUM,Number of children aged 6-59 months with anaemia (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5653,,,,PUBLISHED,Published,,2013,2013,,AFR,2013,2013,Africa,,COG,Congo,,BTSX,Both sexes,,,,,486 [428-536],486.04200,428.00000,536.00000,,,
NUTRITION_ANAEMIA_CHILDREN_NUM,Number of children aged 6-59 months with anaemia (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5653,,,,PUBLISHED,Published,,2014,2014,,AFR,2014,2014,Africa,,COG,Congo,,BTSX,Both sexes,,,,,491 [429-545],491.19900,429.00000,545.00000,,,
NUTRITION_ANAEMIA_CHILDREN_NUM,Number of children aged 6-59 months with anaemia (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5653,,,,PUBLISHED,Published,,2015,2015,,AFR,2015,2015,Africa,,COG,Congo,,BTSX,Both sexes,,,,,495 [425-555],495.26200,425.00000,555.00000,,,
NUTRITION_ANAEMIA_CHILDREN_NUM,Number of children aged 6-59 months with anaemia (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5653,,,,PUBLISHED,Published,,2016,2016,,AFR,2016,2016,Africa,,COG,Congo,,BTSX,Both sexes,,,,,497 [416-565],497.01600,416.00000,565.00000,,,
NUTRITION_ANAEMIA_CHILDREN_NUM,Number of children aged 6-59 months with anaemia (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5653,,,,PUBLISHED,Published,,2017,2017,,AFR,2017,2017,Africa,,COG,Congo,,BTSX,Both sexes,,,,,497 [401-575],496.75300,401.00000,575.00000,,,
NUTRITION_ANAEMIA_CHILDREN_NUM,Number of children aged 6-59 months with anaemia (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5653,,,,PUBLISHED,Published,,2018,2018,,AFR,2018,2018,Africa,,COG,Congo,,BTSX,Both sexes,,,,,495 [387-585],495.46500,387.00000,585.00000,,,
NUTRITION_ANAEMIA_CHILDREN_NUM,Number of children aged 6-59 months with anaemia (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5653,,,,PUBLISHED,Published,,2019,2019,,AFR,2019,2019,Africa,,COG,Congo,,BTSX,Both sexes,,,,,495 [372-597],494.66700,372.00000,597.00000,,,
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5654,,,,PUBLISHED,Published,,2000,2000,,AFR,2000,2000,Africa,,COG,Congo,,FMLE,Female,,,,,441 [354-521],440.89200,354.00000,521.00000,,,
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5654,,,,PUBLISHED,Published,,2001,2001,,AFR,2001,2001,Africa,,COG,Congo,,FMLE,Female,,,,,454 [371-531],454.08400,371.00000,531.00000,,,
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5654,,,,PUBLISHED,Published,,2002,2002,,AFR,2002,2002,Africa,,COG,Congo,,FMLE,Female,,,,,468 [388-542],468.47500,388.00000,542.00000,,,
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5654,,,,PUBLISHED,Published,,2003,2003,,AFR,2003,2003,Africa,,COG,Congo,,FMLE,Female,,,,,483 [407-555],483.07500,407.00000,555.00000,,,
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5654,,,,PUBLISHED,Published,,2004,2004,,AFR,2004,2004,Africa,,COG,Congo,,FMLE,Female,,,,,497 [422-568],497.26500,422.00000,568.00000,,,
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5654,,,,PUBLISHED,Published,,2005,2005,,AFR,2005,2005,Africa,,COG,Congo,,FMLE,Female,,,,,511 [437-581],510.94700,437.00000,581.00000,,,
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5654,,,,PUBLISHED,Published,,2006,2006,,AFR,2006,2006,Africa,,COG,Congo,,FMLE,Female,,,,,525 [452-596],525.43300,452.00000,596.00000,,,
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5654,,,,PUBLISHED,Published,,2007,2007,,AFR,2007,2007,Africa,,COG,Congo,,FMLE,Female,,,,,540 [467-612],540.25400,467.00000,612.00000,,,
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5654,,,,PUBLISHED,Published,,2008,2008,,AFR,2008,2008,Africa,,COG,Congo,,FMLE,Female,,,,,553 [475-628],553.33600,475.00000,628.00000,,,
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5654,,,,PUBLISHED,Published,,2009,2009,,AFR,2009,2009,Africa,,COG,Congo,,FMLE,Female,,,,,566 [485-645],565.93100,485.00000,645.00000,,,
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5654,,,,PUBLISHED,Published,,2010,2010,,AFR,2010,2010,Africa,,COG,Congo,,FMLE,Female,,,,,577 [491-660],576.73300,491.00000,660.00000,,,
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5654,,,,PUBLISHED,Published,,2011,2011,,AFR,2011,2011,Africa,,COG,Congo,,FMLE,Female,,,,,583 [494-667],582.53500,494.00000,667.00000,,,
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5654,,,,PUBLISHED,Published,,2012,2012,,AFR,2012,2012,Africa,,COG,Congo,,FMLE,Female,,,,,586 [493-679],586.20200,493.00000,679.00000,,,
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5654,,,,PUBLISHED,Published,,2013,2013,,AFR,2013,2013,Africa,,COG,Congo,,FMLE,Female,,,,,590 [492-689],589.98200,492.00000,689.00000,,,
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5654,,,,PUBLISHED,Published,,2014,2014,,AFR,2014,2014,Africa,,COG,Congo,,FMLE,Female,,,,,594 [490-700],593.74700,490.00000,700.00000,,,
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5654,,,,PUBLISHED,Published,,2015,2015,,AFR,2015,2015,Africa,,COG,Congo,,FMLE,Female,,,,,600 [487-718],599.62300,487.00000,718.00000,,,
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5654,,,,PUBLISHED,Published,,2016,2016,,AFR,2016,2016,Africa,,COG,Congo,,FMLE,Female,,,,,605 [477-740],605.38500,477.00000,740.00000,,,
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5654,,,,PUBLISHED,Published,,2017,2017,,AFR,2017,2017,Africa,,COG,Congo,,FMLE,Female,,,,,612 [469-766],612.46200,469.00000,766.00000,,,
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5654,,,,PUBLISHED,Published,,2018,2018,,AFR,2018,2018,Africa,,COG,Congo,,FMLE,Female,,,,,621 [458-794],620.92300,458.00000,794.00000,,,
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5654,,,,PUBLISHED,Published,,2019,2019,,AFR,2019,2019,Africa,,COG,Congo,,FMLE,Female,,,,,633 [445-826],632.53800,445.00000,826.00000,,,
NUTRITION_ANAEMIA_NONPREGNANT_NUM,Number of non-pregnant women (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5654,,,,PUBLISHED,Published,,2000,2000,,AFR,2000,2000,Africa,,COG,Congo,,FMLE,Female,,,,,398 [313-477],397.99900,313.00000,477.00000,,,
NUTRITION_ANAEMIA_NONPREGNANT_NUM,Number of non-pregnant women (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5654,,,,PUBLISHED,Published,,2001,2001,,AFR,2001,2001,Africa,,COG,Congo,,FMLE,Female,,,,,410 [328-486],409.92800,328.00000,486.00000,,,
NUTRITION_ANAEMIA_NONPREGNANT_NUM,Number of non-pregnant women (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5654,,,,PUBLISHED,Published,,2002,2002,,AFR,2002,2002,Africa,,COG,Congo,,FMLE,Female,,,,,423 [344-497],423.01500,344.00000,497.00000,,,
NUTRITION_ANAEMIA_NONPREGNANT_NUM,Number of non-pregnant women (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5654,,,,PUBLISHED,Published,,2003,2003,,AFR,2003,2003,Africa,,COG,Congo,,FMLE,Female,,,,,436 [361-507],436.30600,361.00000,507.00000,,,
NUTRITION_ANAEMIA_NONPREGNANT_NUM,Number of non-pregnant women (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5654,,,,PUBLISHED,Published,,2004,2004,,AFR,2004,2004,Africa,,COG,Congo,,FMLE,Female,,,,,449 [375-518],449.23600,375.00000,518.00000,,,
NUTRITION_ANAEMIA_NONPREGNANT_NUM,Number of non-pregnant women (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5654,,,,PUBLISHED,Published,,2005,2005,,AFR,2005,2005,Africa,,COG,Congo,,FMLE,Female,,,,,462 [389-531],461.72700,389.00000,531.00000,,,
NUTRITION_ANAEMIA_NONPREGNANT_NUM,Number of non-pregnant women (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5654,,,,PUBLISHED,Published,,2006,2006,,AFR,2006,2006,Africa,,COG,Congo,,FMLE,Female,,,,,475 [403-544],475.09300,403.00000,544.00000,,,
NUTRITION_ANAEMIA_NONPREGNANT_NUM,Number of non-pregnant women (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5654,,,,PUBLISHED,Published,,2007,2007,,AFR,2007,2007,Africa,,COG,Congo,,FMLE,Female,,,,,489 [417-560],488.86300,417.00000,560.00000,,,
NUTRITION_ANAEMIA_NONPREGNANT_NUM,Number of non-pregnant women (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5654,,,,PUBLISHED,Published,,2008,2008,,AFR,2008,2008,Africa,,COG,Congo,,FMLE,Female,,,,,501 [424-575],501.02500,424.00000,575.00000,,,
NUTRITION_ANAEMIA_NONPREGNANT_NUM,Number of non-pregnant women (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5654,,,,PUBLISHED,Published,,2009,2009,,AFR,2009,2009,Africa,,COG,Congo,,FMLE,Female,,,,,513 [433-591],512.79600,433.00000,591.00000,,,
NUTRITION_ANAEMIA_NONPREGNANT_NUM,Number of non-pregnant women (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5654,,,,PUBLISHED,Published,,2010,2010,,AFR,2010,2010,Africa,,COG,Congo,,FMLE,Female,,,,,523 [439-605],522.93100,439.00000,605.00000,,,
NUTRITION_ANAEMIA_NONPREGNANT_NUM,Number of non-pregnant women (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5654,,,,PUBLISHED,Published,,2011,2011,,AFR,2011,2011,Africa,,COG,Congo,,FMLE,Female,,,,,528 [441-611],528.20600,441.00000,611.00000,,,
