
Indicator,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
International migrant stock at mid-year - 35-39 (thousands),,,,,,,,,,,,,,,,,,,,,25.9,,,,,25.7,,,,,24.5,,,,,25.5,,,,,26.5,,,,,42.3,,44.6
International migrant stock at mid-year - 40-44 (thousands),,,,,,,,,,,,,,,,,,,,,21.3,,,,,22.0,,,,,21.1,,,,,23.0,,,,,24.2,,,,,37.3,,39.4
International migrant stock at mid-year - 45-49 (thousands),,,,,,,,,,,,,,,,,,,,,15.9,,,,,17.7,,,,,17.5,,,,,20.0,,,,,21.6,,,,,32.7,,34.4
International migrant stock at mid-year - 5-9 (thousands),,,,,,,,,,,,,,,,,,,,,23.5,,,,,14.3,,,,,9.9,,,,,16.0,,,,,18.2,,,,,34.3,,42.4
International migrant stock at mid-year - 50-54 (thousands),,,,,,,,,,,,,,,,,,,,,6.4,,,,,13.1,,,,,13.0,,,,,16.4,,,,,18.0,,,,,26.0,,28.3
International migrant stock at mid-year - 55-59 (thousands),,,,,,,,,,,,,,,,,,,,,4.1,,,,,5.7,,,,,10.5,,,,,13.2,,,,,14.2,,,,,20.2,,22.1
International migrant stock at mid-year - 60-64 (thousands),,,,,,,,,,,,,,,,,,,,,3.6,,,,,3.7,,,,,7.7,,,,,10.0,,,,,10.3,,,,,14.5,,16.4
International migrant stock at mid-year - 65+ (thousands),,,,,,,,,,,,,,,,,,,,,5.6,,,,,7.3,,,,,11.9,,,,,17.5,,,,,16.9,,,,,21.3,,25.7
International migrant stock at mid-year - Destination (thousands),,,,,,,,,,,,,,,,,,,,,265.3,,,,,246.9,,,,,228.4,,,,,258.7,,,,,289.1,,,,,382.0,,
International migrant stock at mid-year - Origin (thousands),,,,,,,,,,,,,,,,,,,,,115.2,,,,,135.9,,,,,161.1,,,,,211.1,,,,,279.1,,,,,328.6,,
International migrant stock at mid-year - Total (thousands),,,,,,,,,,,,,,,,,,,,,265.3,,,,,246.9,,,,,228.4,,,,,258.7,,,,,289.1,,,,,508.4,,540.3
Life expectancy at birth - Female (years),47.5,48.1,48.7,49.2,49.8,50.3,50.9,51.4,51.9,52.3,52.8,53.2,53.6,53.9,54.2,54.4,54.6,54.8,55.0,55.1,55.2,55.2,55.1,55.0,54.8,54.6,54.3,54.0,53.6,53.3,53.0,52.8,52.6,52.6,52.6,52.8,53.1,53.4,53.8,54.3,54.8,55.2,55.7,56.2,56.7,57.1,57.6,
Life expectancy at birth - Male (years),44.7,45.2,45.7,46.2,46.7,47.2,47.8,48.3,48.8,49.3,49.7,50.1,50.5,50.8,51.1,51.3,51.6,51.7,51.9,52.0,52.1,52.2,52.2,52.1,52.0,51.9,51.7,51.5,51.3,51.1,50.9,50.8,50.8,50.8,50.9,51.0,51.3,51.6,51.9,52.3,52.7,53.1,53.5,53.9,54.4,54.8,55.2,
Life expectancy at birth - Total (years),46.1,46.6,47.2,47.7,48.2,48.8,49.3,49.8,50.3,50.8,51.2,51.6,52.0,52.3,52.6,52.9,53.1,53.3,53.4,53.5,53.6,53.7,53.6,53.6,53.4,53.3,53.0,52.8,52.5,52.2,52.0,51.8,51.7,51.7,51.7,51.9,52.2,52.5,52.9,53.3,53.7,54.2,54.6,55.1,55.5,,,
Mid-year population - Female (%),50.6,50.6,50.6,50.6,50.6,50.5,50.5,50.5,50.5,50.5,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.1,50.1,50.1,50.1,50.1,50.1,50.1,,,,,
Mid-year population - Female (thousands),"3,429","3,518","3,611","3,708","3,809","3,915","4,024","4,138","4,257","4,381","4,510","4,644","4,784","4,928","5,078","5,233","5,392","5,557","5,726","5,899","6,075","6,255","6,437","6,623","6,811","7,002","7,194","7,390","7,588","7,789","7,994","8,203","8,415","8,633","8,855","8,722","8,959","9,204","9,458","9,718","9,985","10,258","10,538","10,824","11,115","11,410","11,711","12,015"
Mid-year population - Male (thousands),"3,342","3,430","3,523","3,620","3,720","3,826","3,935","4,049","4,168","4,293","4,422","4,557","4,697","4,842","4,993","5,148","5,309","5,475","5,644","5,818","5,995","6,176","6,359","6,546","6,736","6,928","7,123","7,320","7,521","7,725","7,934","8,147","8,364","8,586","8,813","8,699","8,940","9,191","9,449","9,715","9,985","10,262","10,544","10,832","11,125","11,424","11,729","12,038"
Mid-year population - Total (millions),6.8,6.9,7.1,7.3,7.5,7.7,8.0,8.2,8.4,8.7,8.9,9.2,9.5,9.8,10.1,10.4,10.7,11.0,11.4,11.7,12.1,12.4,12.8,13.2,13.5,13.9,14.3,14.7,15.1,15.5,15.9,16.3,16.8,17.2,17.7,17.4,17.9,18.4,18.9,19.4,20.0,20.5,21.1,21.7,22.2,22.8,23.4,24.1
Mid-year population - Urban (%),20.3,21.6,22.9,24.3,25.8,27.3,28.7,29.5,30.3,31.1,31.9,32.8,33.6,34.5,35.4,36.2,37.1,37.9,38.5,39.1,39.7,40.2,40.8,41.4,42.0,42.6,43.2,43.8,44.4,44.9,45.5,46.1,46.7,47.3,47.9,48.5,49.1,49.7,50.3,50.9,51.5,52.1,52.7,53.3,53.8,54.4,54.9,55.5
Mid-year population - Urban (thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,956","7,231","7,518","7,817","8,130","8,456","8,796","9,151","9,520","9,902","10,297","10,704","11,125","11,558","12,004","12,463","12,933","13,417"
Migrants as a percentage of Total population - Total (%),,,,,,,,,,,,,,,,,,,,,2.3,,,,,1.8,,,,,1.5,,,,,1.5,,,,,1.5,,,,,2.2,,2.3
Net reproduction rate (per woman),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,2.0,,,,,1.9,,
Population: 0-14 - Female (thousands),"1,424","1,474","1,525","1,576","1,629","1,681","1,742","1,802","1,862","1,924","1,988","2,060","2,134","2,209","2,285","2,361","2,447","2,531","2,613","2,696","2,777","2,866","2,952","3,037","3,118","3,196","3,280","3,359","3,435","3,509","3,581","3,664","3,745","3,826","3,907","3,987","4,079","4,168","4,257","4,346","4,437","4,537","4,637","4,737","4,835","4,929","5,029",
Population: 0-14 - Male (thousands),"1,432","1,483","1,534","1,586","1,639","1,692","1,753","1,814","1,875","1,938","2,003","2,077","2,152","2,229","2,306","2,384","2,472","2,557","2,641","2,725","2,809","2,899","2,988","3,074","3,157","3,236","3,322","3,403","3,480","3,556","3,630","3,714","3,798","3,881","3,964","4,046","4,140","4,231","4,320","4,410","4,502","4,604","4,705","4,805","4,903","4,998","5,099",
Population: 0-14 - Total (thousands),"2,856","2,957","3,059","3,162","3,267","3,373","3,495","3,616","3,737","3,862","3,991","4,136","4,285","4,437","4,591","4,745","4,919","5,088","5,255","5,421","5,586","5,765","5,940","6,111","6,275","6,433","6,601","6,762","6,915","7,064","7,212","7,378","7,543","7,708","7,871","7,664","7,862","8,061","8,262","8,468","8,679","8,912","9,145","9,377","9,605","9,827","10,056","10,277"
Population: 15-24 - Female (thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,551","1,604","1,658","1,713","1,768","1,821","1,868","1,914","1,960","2,005","2,050","2,090","2,130","2,172","2,217","2,266","2,318","2,374"
Population: 15-24 - Male (thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,562","1,615","1,671","1,727","1,783","1,838","1,885","1,933","1,981","2,028","2,073","2,114","2,155","2,197","2,243","2,293","2,344","2,400"
Population: 15-24 - Total (thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,113","3,219","3,329","3,440","3,551","3,659","3,753","3,848","3,941","4,033","4,123","4,204","4,285","4,369","4,460","4,559","4,662","4,774"
Population: 15-64 - Female (thousands),"1,867","1,902","1,940","1,982","2,026","2,075","2,120","2,169","2,223","2,280","2,341","2,398","2,459","2,523","2,591","2,665","2,733","2,809","2,890","2,975","3,064","3,149","3,239","3,334","3,435","3,542","3,645","3,754","3,870","3,991","4,118","4,237","4,361","4,491","4,626","4,767","4,900","5,042","5,190","5,344","5,502","5,655","5,815","5,981","6,155","6,337","6,515",
Population: 15-64 - Male (thousands),"1,799","1,834","1,872","1,913","1,958","2,006","2,051","2,100","2,154","2,211","2,272","2,329","2,389","2,454","2,523","2,596","2,664","2,739","2,820","2,905","2,994","3,079","3,169","3,264","3,366","3,474","3,577","3,688","3,806","3,930","4,059","4,181","4,309","4,442","4,581","4,726","4,863","5,008","5,161","5,319","5,482","5,638","5,801","5,970","6,147","6,333","6,513",
Population: 15-64 - Total (thousands),"3,666","3,736","3,812","3,894","3,984","4,081","4,170","4,269","4,377","4,492","4,613","4,727","4,848","4,976","5,114","5,261","5,397","5,548","5,710","5,880","6,058","6,228","6,408","6,598","6,801","7,016","7,222","7,442","7,676","7,921","8,176","8,418","8,670","8,933","9,207","9,181","9,448","9,731","10,028","10,334","10,648","10,949","11,262","11,588","11,928","12,285","12,641","13,015"
Population: 65+ - Female (thousands),138.2,142.4,146.4,150.4,154.3,158.2,162.9,167.6,172.2,176.7,181.2,186.5,191.6,196.5,201.4,206.3,211.8,217.4,222.9,228.3,233.6,239.9,245.9,251.8,257.6,263.3,270.1,276.6,282.8,288.9,294.8,301.9,308.6,315.0,321.2,327.4,334.8,342.2,349.4,356.5,363.6,372.4,381.1,389.6,398.0,406.4,416.4,
Population: 65+ - Male (thousands),110.5,114.1,117.6,120.9,124.1,127.2,131.4,135.4,139.3,143.0,146.7,151.4,155.9,160.1,164.3,168.4,173.4,178.2,183.0,187.6,192.0,197.6,203.0,208.1,213.0,217.8,223.8,229.5,234.9,240.1,245.0,251.4,257.3,262.9,268.1,273.2,280.0,286.6,292.9,298.9,304.7,312.7,320.4,327.8,334.9,342.0,351.2,
Population: 65+ - Total (thousands),248.8,256.5,264.0,271.3,278.4,285.4,294.3,302.9,311.4,319.8,327.9,337.9,347.4,356.6,365.7,374.7,385.2,395.6,405.9,415.9,425.7,437.5,448.9,459.9,470.6,481.1,493.9,506.1,517.8,529.0,514.7,528.0,540.8,552.9,564.4,575.5,589.8,603.7,617.3,630.5,643.4,659.5,675.3,690.8,706.3,722.0,653.7,668.7
Total fertility rate (per woman),6.2,6.3,6.3,6.3,6.4,6.4,6.4,6.5,6.5,6.6,6.6,6.7,6.7,6.7,6.7,6.7,6.7,6.6,6.6,6.5,6.4,6.4,6.3,6.2,6.1,6.0,5.9,5.8,5.8,5.7,5.6,5.6,5.5,5.5,5.4,5.4,5.3,5.2,5.2,5.1,5.0,5.1,5.0,4.9,4.9,4.8,4.7,4.6
