ADM0_FR,ADM0_EN,ADM0_PCODE,ADM1_FR,ADM2_FR,ADM1_PCODE,ADM2_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80plus
Bénin (le),Benin,BJ,Atacora,Materi,BJ02,BJ0205,68743,66569,135312,11109,11174,10555,7964,5212,3816,4084,3064,3458,1937,1918,1243,915,722,674,391,507,11602,11793,11622,8722,5640,3307,2659,2079,2163,1574,1519,1070,776,756,574,345,368,22711,22967,22177,16686,10852,7123,6743,5143,5621,3511,3437,2313,1691,1478,1248,736,875
Bénin (le),Benin,BJ,Atacora,Natitingou,BJ02,BJ0206,62333,60968,123301,8880,8363,8933,7393,5423,4701,4628,3571,2820,2246,1460,1470,687,831,382,298,247,9255,8515,8512,7097,5968,4353,3640,3153,2592,2183,1618,1631,674,917,363,256,241,18135,16878,17445,14490,11391,9054,8268,6724,5412,4429,3078,3101,1361,1748,745,554,488
Bénin (le),Benin,BJ,Atacora,Pehunco,BJ02,BJ0207,46043,46830,92873,8444,7347,6182,4819,3882,3427,3296,2405,1783,1120,939,779,414,405,269,239,293,8829,7940,6543,5035,3762,3050,2628,2197,1777,1382,1129,871,516,416,311,220,224,17273,15287,12725,9854,7644,6477,5924,4602,3560,2502,2068,1650,930,821,580,459,517
Bénin (le),Benin,BJ,Atacora,Tanguieta,BJ02,BJ0208,45344,43607,88951,7290,6999,6365,4560,3520,3062,3460,2334,2272,1516,1124,907,586,558,294,206,291,7514,7294,6988,4937,3459,2274,2332,1811,1818,1372,1167,840,506,546,304,222,223,14804,14293,13353,9497,6979,5336,5792,4145,4090,2888,2291,1747,1092,1104,598,428,514
Bénin (le),Benin,BJ,Atacora,Toucountouna,BJ02,BJ0209,24058,23174,47232,3722,3843,3453,2399,1725,1605,1763,1306,1124,783,591,540,325,439,196,142,102,3922,4218,3639,2389,1645,1252,1121,1078,954,832,507,570,265,384,177,120,101,7644,8061,7092,4788,3370,2857,2884,2384,2078,1615,1098,1110,590,823,373,262,203
Bénin (le),Benin,BJ,Atlantique,Abomey-Calavi,BJ03,BJ0301,391562,387781,779343,55424,45790,51533,41964,37248,36133,33622,27110,18878,15676,8473,8799,3057,3354,1357,1496,1648,57912,45331,46108,40519,45193,34446,27402,24950,19745,17208,9838,9698,3387,2969,931,768,1376,113336,91121,97641,82483,82441,70579,61024,52060,38623,32884,18311,18497,6444,6323,2288,2264,3024
Bénin (le),Benin,BJ,Atlantique,Allada,BJ03,BJ0302,77094,74311,151405,11139,9727,10063,7653,6340,5800,5646,5061,4013,3316,2260,1906,1156,1124,664,610,616,11685,10272,10752,9021,6623,4848,4307,4120,3223,2883,1893,1634,955,874,479,358,384,22824,19999,20815,16674,12963,10648,9953,9181,7236,6199,4153,3540,2111,1998,1143,968,1000
Bénin (le),Benin,BJ,Atlantique,Kpomasse,BJ03,BJ0303,40496,39827,80323,5435,5100,5346,4010,2840,2721,2790,2776,2360,1784,1243,1249,723,752,488,408,471,5835,5725,6204,5152,3334,2321,1877,1931,1759,1576,1112,977,567,551,344,293,269,11270,10825,11550,9162,6174,5042,4667,4707,4119,3360,2355,2226,1290,1303,832,701,740
Bénin (le),Benin,BJ,Atlantique,Ouidah,BJ03,BJ0304,98463,93934,192397,14308,12090,12766,9617,7885,7997,8112,7218,5109,4044,2476,2374,1161,1306,631,722,647,15132,12511,12752,9718,7844,6364,6006,5976,5078,4534,2552,2315,993,1038,453,395,273,29440,24601,25518,19335,15729,14361,14118,13194,10187,8578,5028,4689,2154,2344,1084,1117,920
Bénin (le),Benin,BJ,Atlantique,So-Ava,BJ03,BJ0305,68907,71852,140759,11729,10652,10359,7849,6215,5158,4153,3691,2785,2001,1355,1027,665,481,259,211,317,12503,11673,11451,9112,5876,4781,3402,3192,2500,2068,1633,1231,933,645,364,228,260,24232,22325,21810,16961,12091,9939,7555,6883,5285,4069,2988,2258,1598,1126,623,439,577
Bénin (le),Benin,BJ,Atlantique,Toffo,BJ03,BJ0306,61958,58660,120618,8857,8079,8715,6963,5230,4608,4441,3809,3060,2464,1600,1270,825,795,449,373,420,9076,8354,9195,7626,5177,3978,3211,3092,2363,1928,1375,1090,693,616,356,258,272,17933,16433,17910,14589,10407,8586,7652,6901,5423,4392,2975,2360,1518,1411,805,631,692
Bénin (le),Benin,BJ,Atlantique,Tori-Bossito,BJ03,BJ0307,34638,33791,68429,5178,4520,4692,3296,2530,2588,2647,2353,1698,1421,992,842,513,546,304,257,261,5365,4891,5166,3941,2579,2248,1862,1877,1445,1295,857,773,448,444,232,217,151,10543,9411,9858,7237,5109,4836,4509,4230,3143,2716,1849,1615,961,990,536,474,412
Bénin (le),Benin,BJ,Atlantique,Ze,BJ03,BJ0308,65065,61879,126944,9997,9036,9113,6872,5383,4907,4510,4227,3009,2276,1568,1272,887,726,468,350,464,10540,9333,9485,7726,5583,3857,3117,3099,2332,2064,1449,1053,700,599,375,292,275,20537,18369,18598,14598,10966,8764,7627,7326,5341,4340,3017,2325,1587,1325,843,642,739
Bénin (le),Benin,BJ,Borgou,Bembereke,BJ04,BJ0401,76363,79486,155849,12934,11993,10836,9349,6938,5456,5125,3595,3025,2147,1406,1193,616,684,435,309,322,13352,12233,11567,10160,8016,5255,4516,3612,2970,2321,1643,1389,778,671,464,261,278,26286,24226,22403,19509,14954,10711,9641,7207,5995,4468,3049,2582,1394,1355,899,570,600
Bénin (le),Benin,BJ,Borgou,Kalale,BJ04,BJ0402,99781,100746,200527,20199,17926,14048,11067,8236,7063,6476,4119,3443,2065,1623,1117,775,506,453,259,406,20858,17826,15254,11147,8252,6024,5307,3710,3565,2335,1966,1371,1019,739,559,358,456,41057,35752,29302,22214,16488,13087,11783,7829,7008,4400,3589,2488,1794,1245,1012,617,862
Bénin (le),Benin,BJ,Borgou,N'dali,BJ04,BJ0403,65802,69092,134894,11834,9932,8985,7885,5688,4900,4646,3331,2583,1791,1178,1048,590,511,350,226,324,12509,10506,9838,8270,6201,4580,3882,3245,2776,2061,1561,1409,721,591,407,257,278,24343,20438,18823,16155,11889,9480,8528,6576,5359,3852,2739,2457,1311,1102,757,483,602
Bénin (le),Benin,BJ,Borgou,Nikki,BJ04,BJ0404,89288,90280,179568,17102,14730,11923,10396,7714,6472,6156,3995,3388,1962,1625,1230,797,589,444,334,431,17384,14900,13160,10584,7701,5828,5092,3830,3256,2209,1899,1444,988,689,548,342,426,34486,29630,25083,20980,15415,12300,11248,7825,6644,4171,3524,2674,1785,1278,992,676,857
Bénin (le),Benin,BJ,Borgou,Parakou,BJ04,BJ0405,150230,153115,303345,19965,17882,21407,19966,15938,12248,10707,8952,6509,5623,3111,3428,1252,1501,672,541,528,20890,17237,18804,19661,20541,13066,9574,8204,6532,6211,3558,4026,1516,1749,623,558,365,40855,35119,40211,39627,36479,25314,20281,17156,13041,11834,6669,7454,2768,3250,1295,1099,893
Bénin (le),Benin,BJ,Borgou,Perere,BJ04,BJ0406,46848,46940,93788,9646,7774,5573,4964,4274,3763,3377,2091,1611,1038,869,575,404,341,217,117,214,9960,7907,6435,5041,3758,3119,2677,2143,1642,1103,921,696,466,397,289,174,212,19606,15681,12008,10005,8032,6882,6054,4234,3253,2141,1790,1271,870,738,506,291,426
Bénin (le),Benin,BJ,Borgou,Sinende,BJ04,BJ0407,54212,54641,108853,9947,8658,7615,6445,4669,3912,3751,2552,2011,1297,928,715,494,395,312,221,290,10225,8928,7989,6365,4556,3698,2999,2542,2076,1530,1111,799,568,427,342,197,289,20172,17586,15604,12810,9225,7610,6750,5094,4087,2827,2039,1514,1062,822,654,418,579
Bénin (le),Benin,BJ,Borgou,Tchaourou,BJ04,BJ0408,131298,133650,264948,23396,20721,17483,14763,11461,10023,9648,6566,5579,3515,2517,1808,1165,956,650,450,597,24507,21524,19831,15065,11111,8584,7517,6159,5294,3942,3107,2518,1480,1177,777,502,555,47903,42245,37314,29828,22572,18607,17165,12725,10873,7457,5624,4326,2645,2133,1427,952,1152
Bénin (le),Benin,BJ,Collines,Bante,BJ05,BJ0501,64436,62829,127265,9197,8674,9774,7572,5345,4684,4705,3828,3043,2119,1430,1161,793,843,471,388,409,9590,8991,10382,8864,5840,4129,3290,2805,2457,1877,1300,1030,689,649,345,253,338,18787,17665,20156,16436,11185,8813,7995,6633,5500,3996,2730,2191,1482,1492,816,641,747
Bénin (le),Benin,BJ,Collines,Dassa-Zoume,BJ05,BJ0502,68247,64883,133130,9754,9146,9877,7472,5342,4633,4802,4378,3323,2606,1761,1668,937,1100,499,475,474,10047,9338,10244,8413,5657,3745,3333,3184,2778,2300,1607,1354,931,831,447,341,333,19801,18484,20121,15885,10999,8378,8135,7562,6101,4906,3368,3022,1868,1931,946,816,807
Bénin (le),Benin,BJ,Collines,Glazoue,BJ05,BJ0503,74766,72981,147747,9807,9974,11658,9394,6111,5125,5084,4346,3481,2796,1778,1721,898,1184,515,460,434,10592,10243,12253,10618,6952,4428,3509,3360,2820,2374,1567,1402,810,906,437,382,328,20399,20217,23911,20012,13063,9553,8593,7706,6301,5170,3345,3123,1708,2090,952,842,762
Bénin (le),Benin,BJ,Collines,Ouesse,BJ05,BJ0504,82932,85696,168628,11383,11407,12558,10287,7570,6273,5903,4831,3709,2710,1662,1491,761,1032,496,455,404,12598,12263,13614,12159,8609,5760,4432,3807,3465,2675,1768,1556,857,884,491,397,361,23981,23670,26172,22446,16179,12033,10335,8638,7174,5385,3430,3047,1618,1916,987,852,765
Bénin (le),Benin,BJ,Collines,Savalou,BJ05,BJ0505,87589,84045,171634,13244,12298,12499,9492,6937,6491,6487,5349,3871,2840,2010,1932,1068,1237,633,637,564,13794,12681,13516,11217,6860,5213,4254,4269,3336,2593,1687,1434,880,1029,468,436,378,27038,24979,26015,20709,13797,11704,10741,9618,7207,5433,3697,3366,1948,2266,1101,1073,942
Bénin (le),Benin,BJ,Collines,Save,BJ05,BJ0506,51159,52353,103512,6981,6535,7102,5920,4354,3949,3737,3219,2610,1948,1282,1225,558,749,340,364,286,7387,6839,7678,6814,5067,3477,2938,2684,2429,2065,1439,1240,699,780,344,258,215,14368,13374,14780,12734,9421,7426,6675,5903,5039,4013,2721,2465,1257,1529,684,622,501
Bénin (le),Benin,BJ,Couffo,Aplahoue,BJ06,BJ0601,108011,95157,203168,15500,16264,15900,12734,8546,8520,7973,6528,4936,3590,2254,1410,1169,1091,531,395,670,15928,16015,15572,12917,7679,5806,4538,4410,3535,2714,1956,1245,976,768,370,286,442,31428,32279,31472,25651,16225,14326,12511,10938,8471,6304,4210,2655,2145,1859,901,681,1112
Bénin (le),Benin,BJ,Couffo,Djakotomey,BJ06,BJ0602,84701,74440,159141,11231,12797,12732,9810,6059,5958,5689,5746,4455,3163,2078,1440,1187,919,471,407,559,11588,12798,13584,11297,6015,3794,2828,3104,2513,2054,1523,996,780,621,306,251,388,22819,25595,26316,21107,12074,9752,8517,8850,6968,5217,3601,2436,1967,1540,777,658,947
Bénin (le),Benin,BJ,Couffo,Dogbo,BJ06,BJ0603,63351,59016,122367,7998,8555,9153,7744,4868,4548,4480,4266,3440,2416,1724,1118,924,775,466,309,567,8490,8719,9681,9299,5682,3667,2724,2653,2308,1887,1161,895,640,418,327,177,288,16488,17274,18834,17043,10550,8215,7204,6919,5748,4303,2885,2013,1564,1193,793,486,855
Bénin (le),Benin,BJ,Couffo,Klouekanme,BJ06,BJ0604,81658,71034,152692,11830,12336,12085,9668,6292,6026,5371,5076,3696,2985,2000,1420,915,770,420,293,475,11994,12321,12111,10149,5762,4225,2940,2991,2274,1851,1364,872,717,614,286,247,316,23824,24657,24196,19817,12054,10251,8311,8067,5970,4836,3364,2292,1632,1384,706,540,791
Bénin (le),Benin,BJ,Couffo,Lalo,BJ06,BJ0605,74947,67451,142398,10645,11616,11295,8259,5748,5736,5276,4688,3434,2480,1754,1214,866,749,443,272,472,11189,11908,11706,9781,5366,3745,2809,2907,2201,1704,1271,775,727,480,353,198,331,21834,23524,23001,18040,11114,9481,8085,7595,5635,4184,3025,1989,1593,1229,796,470,803
Bénin (le),Benin,BJ,Couffo,Toviklin,BJ06,BJ0606,56068,49149,105217,7609,8712,8872,6581,4162,3875,3633,3447,2691,1921,1302,936,708,591,343,266,419,7912,8665,8543,7247,4327,2842,1878,1989,1525,1331,873,587,451,383,209,149,238,15521,17377,17415,13828,8489,6717,5511,5436,4216,3252,2175,1523,1159,974,552,415,657
Bénin (le),Benin,BJ,Donga,Bassila,BJ07,BJ0701,77207,77262,154469,11902,10893,9937,7862,6631,6423,6377,4768,3748,2557,1616,1575,809,930,431,374,374,12610,11626,11596,8984,6787,5391,4353,3813,3183,2645,1761,1524,841,982,466,392,308,24512,22519,21533,16846,13418,11814,10730,8581,6931,5202,3377,3099,1650,1912,897,766,682
Bénin (le),Benin,BJ,Donga,Copargo,BJ07,BJ0703,41744,42485,84229,5679,6324,5503,4397,3694,3138,3213,2222,2041,1514,990,888,534,665,341,267,334,6008,7073,6767,5184,3682,2660,2209,1841,1593,1390,1000,861,545,667,368,293,344,11687,13397,12270,9581,7376,5798,5422,4063,3634,2904,1990,1749,1079,1332,709,560,678
Bénin (le),Benin,BJ,Donga,Djougou,BJ07,BJ0702,157886,160108,317994,24426,22836,20810,17287,13939,12166,11726,9197,7112,5281,3495,3038,1757,1794,1113,874,1035,25985,24562,23858,19362,13829,10559,8745,7590,6384,5448,3885,3068,1905,1914,1160,917,937,50411,47398,44668,36649,27768,22725,20471,16787,13496,10729,7380,6106,3662,3708,2273,1791,1972
Bénin (le),Benin,BJ,Donga,Ouake,BJ07,BJ0704,44186,44024,88210,5888,6268,6300,4978,3835,3405,3165,2693,2039,1669,922,1014,468,679,305,300,258,6471,6722,6799,5986,4255,3088,2139,1977,1561,1487,906,866,462,575,260,273,197,12359,12990,13099,10964,8090,6493,5304,4670,3600,3156,1828,1880,930,1254,565,573,455
Bénin (le),Benin,BJ,Littoral,Cotonou,BJ08,BJ0800,416683,389560,806243,50686,42675,50901,45597,40296,38312,36973,29817,21916,18981,10770,13268,4501,6045,2001,2444,1500,52993,40965,41234,38908,44039,37173,31425,27501,21799,19364,10600,10697,4226,4895,1549,1512,680,103679,83640,92135,84505,84335,75485,68398,57318,43715,38345,21370,23965,8727,10940,3550,3956,2180
Bénin (le),Benin,BJ,Mono,Athieme,BJ09,BJ0901,34088,32978,67066,4648,4520,5044,3943,2745,2237,2267,2132,1779,1340,923,772,449,462,287,261,279,4796,4880,5286,4561,3312,2058,1525,1582,1275,1179,756,639,338,334,191,122,144,9444,9400,10330,8504,6057,4295,3792,3714,3054,2519,1679,1411,787,796,478,383,423
Bénin (le),Benin,BJ,Mono,Bopa,BJ09,BJ0902,58590,55732,114322,8095,8445,8402,6092,4151,3970,3985,3691,3036,2493,1604,1361,846,916,536,447,520,8252,9109,9683,7279,4289,2958,2535,2451,2101,1787,1384,1134,783,662,461,403,461,16347,17554,18085,13371,8440,6928,6520,6142,5137,4280,2988,2495,1629,1578,997,850,981
Bénin (le),Benin,BJ,Mono,Come,BJ09,BJ0903,48884,46092,94976,6340,5741,6532,5282,4002,3445,3600,3073,2540,2258,1457,1579,678,940,417,546,454,6549,5947,6753,6536,4795,2989,2398,2315,1872,1898,1089,1108,519,651,228,258,187,12889,11688,13285,11818,8797,6434,5998,5388,4412,4156,2546,2687,1197,1591,645,804,641
Bénin (le),Benin,BJ,Mono,Grand-Popo,BJ09,BJ0904,34709,33725,68434,4406,4045,4084,3435,2707,2378,2454,2335,1943,1819,1147,1213,579,882,394,439,449,4694,4239,4581,4381,3198,2371,1846,1888,1542,1564,940,829,409,505,239,229,270,9100,8284,8665,7816,5905,4749,4300,4223,3485,3383,2087,2042,988,1387,633,668,719
Bénin (le),Benin,BJ,Mono,Houeyogbe,BJ09,BJ0905,62176,58806,120982,8311,8242,8903,6797,4834,4258,4028,4034,3236,2607,1715,1543,953,1000,596,519,600,8428,8791,9665,8284,5392,3305,2523,2603,2503,2112,1391,1130,742,742,441,380,374,16739,17033,18568,15081,10226,7563,6551,6637,5739,4719,3106,2673,1695,1742,1037,899,974
Bénin (le),Benin,BJ,Mono,Lokossa,BJ09,BJ0906,63220,61406,124626,8599,8244,9033,7694,5439,4753,4413,4112,3077,2402,1561,1331,696,719,364,368,415,8872,8427,9414,8450,6128,4334,3420,3119,2498,2355,1312,1163,624,540,316,219,215,17471,16671,18447,16144,11567,9087,7833,7231,5575,4757,2873,2494,1320,1259,680,587,630
Bénin (le),Benin,BJ,Oueme,Adjarra,BJ10,BJ1001,59011,56667,115678,8490,7230,7967,6087,4869,4802,4522,3969,2909,2492,1525,1524,723,887,371,309,335,9234,7722,8078,6495,5152,3875,3350,3095,2521,2223,1492,1581,694,621,206,189,139,17724,14952,16045,12582,10021,8677,7872,7064,5430,4715,3017,3105,1417,1508,577,498,474
Bénin (le),Benin,BJ,Oueme,Adjohoun,BJ10,BJ1002,45959,43476,89435,6478,5889,6256,4455,3690,3542,3121,2881,2302,1959,1443,1361,692,772,370,342,406,6795,6196,6629,5369,3738,2788,2223,2033,1719,1603,1197,1177,715,550,249,252,243,13273,12085,12885,9824,7428,6330,5344,4914,4021,3562,2640,2538,1407,1322,619,594,649
Bénin (le),Benin,BJ,Oueme,Aguegues,BJ10,BJ1003,26350,26562,52912,3897,3819,4001,3212,2344,1962,1797,1489,1334,783,622,362,286,137,99,90,116,4088,4026,4187,3515,2497,1731,1368,1193,1137,778,701,453,431,194,114,64,85,7985,7845,8188,6727,4841,3693,3165,2682,2471,1561,1323,815,717,331,213,154,201
Bénin (le),Benin,BJ,Oueme,Akpo-Misserete,BJ10,BJ1004,63964,60345,124309,10793,7845,7615,7705,6773,4892,4624,3329,2386,2497,812,2021,376,1049,166,967,114,11572,8507,7743,6132,6092,5158,3752,3204,2061,2281,851,1477,312,623,98,398,84,22365,16352,15358,13837,12865,10050,8376,6533,4447,4778,1663,3498,688,1672,264,1365,198
Bénin (le),Benin,BJ,Oueme,Avrankou,BJ10,BJ1005,77635,74408,152043,12019,9683,10137,7488,6546,6618,5863,5165,3689,3038,2060,1903,977,1070,510,445,424,12802,10553,10454,8201,6478,5665,4474,4101,3115,2646,1800,1669,849,757,334,235,275,24821,20236,20591,15689,13024,12283,10337,9266,6804,5684,3860,3572,1826,1827,844,680,699
Bénin (le),Benin,BJ,Oueme,Bonou,BJ10,BJ1006,27172,25489,52661,3754,3478,3835,2960,2075,2193,1916,1783,1267,1091,677,774,320,426,198,220,205,3936,3667,4014,3305,2363,1648,1261,1214,962,833,612,607,338,330,149,122,128,7690,7145,7849,6265,4438,3841,3177,2997,2229,1924,1289,1381,658,756,347,342,333
Bénin (le),Benin,BJ,Oueme,Dangbo,BJ10,BJ1007,57973,56520,114493,8738,7629,7656,5807,4761,4702,4292,3720,2881,2211,1569,1317,853,697,398,325,417,9367,8094,8258,6796,4708,3691,3134,2966,2472,2080,1651,1146,864,559,306,190,238,18105,15723,15914,12603,9469,8393,7426,6686,5353,4291,3220,2463,1717,1256,704,515,655
Bénin (le),Benin,BJ,Oueme,Porto-Novo,BJ10,BJ1008,163215,150632,313847,20050,18093,21149,17268,14112,13332,12709,10588,8386,7867,4977,6033,2259,3026,1065,1320,981,21264,17887,18945,17448,16056,12154,9607,8448,6708,6590,4388,4918,2022,2428,723,692,354,41314,35980,40094,34716,30168,25486,22316,19036,15094,14457,9365,10951,4281,5454,1788,2012,1335
Bénin (le),Benin,BJ,Oueme,Seme-Kpodji,BJ10,BJ1009,133175,131254,264429,19794,16672,17787,13944,12052,12464,11311,9082,6027,4663,2875,2869,1103,1207,449,450,426,20561,16894,16749,13802,12389,10390,9520,8957,6891,5601,3166,3001,1281,1216,351,283,202,40355,33566,34536,27746,24441,22854,20831,18039,12918,10264,6041,5870,2384,2423,800,733,628
Bénin (le),Benin,BJ,Plateau,Adja-Ouere,BJ11,BJ1101,70177,67891,138068,10148,9605,10007,7191,5494,5570,5635,4630,3269,2424,1560,1638,756,962,463,409,416,10688,10343,10803,8157,5740,4340,3647,3573,2940,2445,1448,1343,757,756,361,300,250,20836,19948,20810,15348,11234,9910,9282,8203,6209,4869,3008,2981,1513,1718,824,709,666
Bénin (le),Benin,BJ,Plateau,Ifangni,BJ11,BJ1102,68265,63500,131765,9883,8635,8884,6548,5915,5758,5018,4381,3229,2817,1782,1796,978,1147,515,520,459,10405,8802,9002,7244,5526,4824,3968,3456,2652,2241,1518,1446,785,791,338,272,230,20288,17437,17886,13792,11441,10582,8986,7837,5881,5058,3300,3242,1763,1938,853,792,689
Bénin (le),Benin,BJ,Plateau,Ketou,BJ11,BJ1103,95023,91813,186836,14251,13617,13507,9851,8182,7814,7279,5800,4392,3130,1939,1739,924,1081,531,498,488,14881,13867,13955,10474,7829,6272,5407,4639,4143,3168,2214,1615,1040,1053,477,358,421,29132,27484,27462,20325,16011,14086,12686,10439,8535,6298,4153,3354,1964,2134,1008,856,909
Bénin (le),Benin,BJ,Plateau,Pobe,BJ11,BJ1104,75852,71001,146853,10886,10414,10392,7900,6362,5933,5767,4962,3554,2722,1611,1843,778,1246,482,525,475,11035,10787,10768,8356,6090,4847,3994,3581,3000,2637,1646,1446,830,939,386,384,275,21921,21201,21160,16256,12452,10780,9761,8543,6554,5359,3257,3289,1608,2185,868,909,750
Bénin (le),Benin,BJ,Plateau,Sakete,BJ11,BJ1105,71375,64091,135466,8658,8623,9689,7293,5646,5692,5246,4661,3584,3236,2036,2387,1073,1665,643,683,560,9177,9070,9716,7995,5947,4562,3323,3198,2508,2334,1581,1613,855,1035,463,424,290,17835,17693,19405,15288,11593,10254,8569,7859,6092,5570,3617,4000,1928,2700,1106,1107,850
Bénin (le),Benin,BJ,Zou,Abomey,BJ12,BJ1201,57578,51973,109551,6955,6648,8246,6551,4856,3871,3894,3712,2931,2677,1734,1800,920,1091,579,556,557,7198,6746,7746,6474,4933,3449,2923,2583,2346,2138,1440,1404,734,749,409,409,292,14153,13394,15992,13025,9789,7320,6817,6295,5277,4815,3174,3204,1654,1840,988,965,849
Bénin (le),Benin,BJ,Zou,Agbangnizoun,BJ12,BJ1202,44576,41566,86142,6193,5585,6351,4711,3426,3114,3090,2891,2160,1710,1267,1087,795,734,490,433,539,6341,5803,6642,5348,3452,2401,2279,2084,1761,1447,1015,809,591,564,382,293,354,12534,11388,12993,10059,6878,5515,5369,4975,3921,3157,2282,1896,1386,1298,872,726,893
Bénin (le),Benin,BJ,Zou,Bohicon,BJ12,BJ1203,106541,97426,203967,14727,12974,15192,12215,9357,8277,8098,7053,5014,4153,2475,2407,1218,1371,686,686,638,14981,12563,14198,12534,9306,6693,6028,5319,4575,3784,2238,2105,1002,958,455,404,283,29708,25537,29390,24749,18663,14970,14126,12372,9589,7937,4713,4512,2220,2329,1141,1090,921
